ano,sunspots,fase_ciclo
1976,12.6,vale
1977,27.5,subida
1978,92.5,pico
1979,155.4,pico
1980,154.6,pico
1981,140.4,pico
1982,115.9,pico
1983,66.6,subida
1984,45.9,subida
1985,17.9,descida
1986,13.4,vale
1987,29.4,descida
1988,100.2,pico
1989,157.6,pico
1990,142.6,pico
1991,145.7,pico
1992,94.3,pico
1993,54.6,subida
1994,29.9,descida
1995,17.5,descida
1996,8.6,vale
1997,21.5,descida
1998,64.3,descida
1999,93.3,pico
2000,119.6,pico
2001,111.0,pico
2002,104.0,pico
2003,63.7,descida
2004,40.4,descida
2005,29.8,descida
2006,15.2,vale
2007,7.5,vale
2008,2.9,vale
