lambda,period_bounds,period_min,period_max,R2_OOS,RMSE,MAE,Bias
0.75,"(10, 14)",10,14,0.872053486307758,29.47317493547617,23.268378147841247,-0.5111464029570465
0.75,"(9, 13)",9,13,0.8720506373108086,29.47350307461662,23.26838866771324,-0.511362343954445
0.75,"(8, 16)",8,16,0.87204624284104,29.474009209635284,23.26849723810899,-0.5118841537914216
0.5,"(8, 16)",8,16,0.8643845049825334,30.34361715687814,24.468595851853543,-0.920359102131873
0.5,"(9, 13)",9,13,0.8643841690173089,30.343654742530994,24.46849184219934,-0.9203442082530922
0.5,"(10, 14)",10,14,0.8643832416497199,30.34375849027796,24.46865481250172,-0.9204783892030175
0.25,"(8, 16)",8,16,0.839385790515528,33.02209905182139,26.514363684076272,-2.2047268516064586
0.25,"(10, 14)",10,14,0.8393854524224441,33.02213380758013,26.514377074179833,-2.204686003412474
0.25,"(9, 13)",9,13,0.8393843625547408,33.02224584505315,26.514426323668673,-2.204837859467634
1.0,"(9, 13)",9,13,0.833473607238792,33.624375794018334,26.035922421778803,0.31547288337102164
1.0,"(10, 14)",10,14,0.8169630260147133,35.251865719384135,26.843417970314093,1.0767152934398392
0.0,"(8, 16)",8,16,0.788337155161753,37.90836101910284,28.462010261762703,-3.2087729810991656
0.0,"(10, 14)",10,14,0.7883366139588497,37.908409483210804,28.462008520796537,-3.2086740008247197
0.0,"(9, 13)",9,13,0.7883360897987974,37.90845642109167,28.462030673981555,-3.2090058843379765
1.0,"(8, 16)",8,16,0.7883098486892327,37.91080620553983,27.712391404911525,2.948800222859678
