modelo,fase_ciclo,n,atividade_media,Bias,MAE,RMSE
M6_tendencia_mais_ciclo_usual,vale,6,17.05,-4.384377062430333,9.407354481486761,12.814645015662167
M5_BoxCox_ciclo_amortecido,vale,6,17.05,-19.721429330606963,19.721429330606963,22.316489682652172
M3_tendencia_local_H1,vale,6,17.05,-20.464208789472448,20.464208789472448,24.194913447288027
M5_BoxCox_ciclo_amortecido,subida,6,73.13333333333334,-1.8926429174567676,24.417416766322088,25.993203946051853
M3_tendencia_local_H1,subida,6,73.13333333333334,3.994123533315007,24.086865983949227,28.77818454947692
M6_tendencia_mais_ciclo_usual,subida,6,73.13333333333334,-6.067514456382931,25.111560188466637,28.969125350422715
M5_BoxCox_ciclo_amortecido,pico,14,183.40714285714287,3.344321015495545,26.983896719947325,36.47830481480451
M3_tendencia_local_H1,pico,14,183.40714285714287,-2.5652579737188796,28.136693014485836,38.07396327947358
M6_tendencia_mais_ciclo_usual,pico,14,183.40714285714287,-5.21335843671839,37.65020845429133,47.57407801415613
M5_BoxCox_ciclo_amortecido,descida,7,53.27142857142858,9.428015424837458,17.892692602560597,20.68359272660374
M3_tendencia_local_H1,descida,7,53.27142857142858,10.57270334686979,18.94460315459168,22.503883637790434
M6_tendencia_mais_ciclo_usual,descida,7,53.27142857142858,19.94564817937302,29.37772065461505,31.579628012148802
